#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
NN 3416 |06 52 59|+40 08.8| 0.466|164.4|  51.2|M1          | 11.10| 1.43|  38.1|  38.1| 9.00|V240B|LTT 11947                                                            |06 56 28.0|+40 04 29
NN 3417 |06 53 17|+62 23.7| 0.516|139.9|      |m           | 13.65|     |      | 129.0|14.20|     |                                                                     |06 57 56.9|+62 19 21
Gl 253  |06 53 51|-55 11.5| 0.182|187.6|  40.1|G7 V        |  8.17| 0.78|      |  69.6| 7.38|     |                                                                     |06 54 51.1|-55 15 34
Gl 254  |06 53 52|+30 49.6| 0.230|157.6|  -7.8|K7          |  9.72| 1.36|  72.8|  56.0| 8.46|V013 |                                                                     |06 57 04.7|+30 45 25
Wo 9222 |06 54 41|-74 39.8| 0.197|341.4|  -0.9|F8 V +A/F   |  7.65| 0.53|  41.0|  20.0| 4.16|     |composite spectra (Michigan)                                         |06 53 16.5|-74 43 32
NN 3418 |06 55 22|+14 17.3| 0.009|219.7|      |G5          |  8.28|     |      |  48.0| 6.69|     |                                                                     |06 58 12.2|+14 13 12
Gl 255  |06 55 30|-35 26.4| 0.040|296.9|  10.1|F8 IV-V     |  6.91| 0.46|  68.4|  68.4| 6.09|     |BS 2612  V(AB) = 6.23 d(m) = 0.16                                    |06 57 17.4|-35 30 27
Gl 255  |06 55 30|-35 26.4| 0.040|296.9|      |F8 IV-V     |  7.10|     |  68.4|  68.4| 6.30|     |a = 0.218" P = 16.74 yr                                              |06 57 17.4|-35 30 27
Gl 256  |06 56 07|-12 55.3| 0.119|134.4|  -7.7|K4 V        |  9.15| 1.16|  36.8|  47.0| 7.51|V485 |                                                                     |06 58 26.1|-12 59 30
Gl 257  |06 56 21|-44 13.3| 1.134|265.0|      |M3          | 11.50| 1.66| 116.9| 116.9|11.80|     |V(AB) = 10.84 d(m) = 0.2                                             |06 57 46.4|-44 17 30
Gl 257  |06 56 21|-44 13.3| 1.134|265.0|      |M3          | 11.70|     | 116.9| 116.9|12.00|     |                                                                     |06 57 46.4|-44 17 30
GJ 1093 |06 56 29|+19 25.8| 1.225|137.3|      |m           | 14.83| 1.93| 128.9| 128.9|15.38|     |                                                                     |06 59 28.4|+19 20 52
NN 3419 |06 56 53|-10 11.2| 0.729|181.9|      |m           | 13.50|     |      |  51.0|12.00|     |LTT 2704 L 814-1 LP 721-2                                            |06 59 15.0|-10 16 00
NN 3420 |06 57 36|+32 02.5| 0.684|150.6|      |DC9         | 16.57| 0.96|  53.6|  53.6|15.22|W485 |LP 308-010                                                           |07 00 51.4|+31 57 44
Gl 257.1|06 57 49|+48 27.4| 0.700|127.3| -22.8|K3 V        |  8.00| 0.99|  33.2|  54.0| 6.66|     |                                                                     |07 01 38.3|+48 22 45
Gl 258  |06 59 07|+68 21.7| 0.341| 82.0|      |M3.5        | 11.96| 1.53|  56.5|  56.5|10.70|     |AC+68:2911                                                           |07 04 25.8|+68 17 17
Gl 259  |06 59 11|-25 52.6| 0.207| 79.7|  12.6|K0 Ve       |  6.71| 0.89|  67.4|  74.0| 6.06|     |                                                                     |07 01 14.2|-25 56 54
Gl 260  |06 59 25|-61 16.1| 0.300|323.8|  21.3|K0 IV-V     |  6.82| 0.80|  61.5|  63.0| 5.82|     |                                                                     |06 59 59.6|-61 20 12
Gl 261  |06 59 27|-06 22.1| 0.898|185.0|      |DA          | 15.27| 0.88|  79.0|  79.0|14.80|W    |L 886-6                                                              |07 01 53.2|-06 27 13
NN 3421 |06 59 54|+52 47.5| 1.166|141.7|      |M4.5        | 13.30| 1.84| 109.1| 109.1|13.49|     |LTT 11965 LFT 506 LP 122-59 L 1750-5                                 |07 03 56.3|+52 42 17
NN 3422 |06 59 56|-67 50.9| 0.240|351.0|  38.6|K3 III      |  5.17| 1.40|  41.1|  41.1| 3.20|     |LTT 2717 CD-67: 492                                                  |06 59 50.6|-67 55 01
NN 3423 |07 00 05|+34 46.2| 0.183|331.0|      |m           | 13.17|     |      |  75.0|12.55|     |LP 255-11                                                            |07 03 23.0|+34 41 53
GJ 1094 |07 00 17|-06 43.3| 0.358|213.9|      |K5 V        |  8.38| 1.08|  63.3|  63.3| 7.39|U152 |LTT 2722                                                             |07 02 42.4|-06 47 58
Gl 262  |07 00 20|+29 25.4| 0.841|169.1|  25.4|G4 V        |  5.94| 0.60|  58.6|  55.0| 4.64|     |                                                                     |07 03 30.6|+29 20 15
NN 3424 |07 01 46|+25 04.6| 0.328|215.0|      |M1          | 11.62| 1.48|      |  40.0| 9.63|     |LTT 11970 Ross 874                                                   |07 04 49.1|+24 59 49
Gl 263  |07 01 56|-10 25.3| 0.806|188.5| -87.0|M3.5        | 11.29| 1.52|  61.5|  61.5|10.23|     |Ross 54                                                              |07 04 17.5|-10 30 30
Gl 264  |07 02 18|-43 29.5| 0.404|346.6|  88.0|K5 V        |  8.68| 1.18|  55.0|  60.0| 7.57|U153 |                                                                     |07 03 50.2|-43 33 43
Gl 264.1|07 02 25|-43 32.3| 0.398|343.8|  86.4|G3 V        |  5.55| 0.64|  50.2|  66.0| 4.65|     |                                                                     |07 03 57.1|-43 36 32
Gl 264.1|07 02 25|-43 32.3| 0.398|343.8|  90.4|K0 V        |  6.79| 0.80|  50.2|  66.0| 5.89|     |                                                                     |07 03 57.1|-43 36 32
Gl 265  |07 02 35|+27 32.9| 0.122|205.2| -25.3|M0 Ve       | 10.22| 1.32|  59.7|  59.7| 9.10|V014 |                                                                     |07 05 42.0|+27 28 12
NN 3425 |07 02 46|+67 16.8| 0.279|254.0|      |dM0         | 11.18| 1.51|      |  56.0| 9.92|V242 |LTT 11972 AC+67:2334                                                 |07 07 50.2|+67 12 03
NN 3426 |07 03 51|+48 46.2| 0.309|185.0|      |m           | 13.40|     |      |  65.0|12.46|     |                                                                     |07 07 37.6|+48 41 13
NN 3427 |07 04 06|+69 56.1| 0.344|213.0|      |m           | 12.54|     |      |  44.0|10.76|     |                                                                     |07 09 32.6|+69 51 04
Gl 266  |07 04 32|+03 31.8| 0.320|183.0|      |dM0         |  9.84| 1.29|  42.3|  42.0| 7.96|V487 |AC+03:2350-326                                                       |07 07 09.6|+03 26 48
Wo 9224 |07 04 48|-47 30.6| 0.200|139.0|      |k           | 10.54| 1.17|  39.4|  24.0| 7.44|     |LTT 2738                                                             |07 06 12.3|-47 35 26
NN 3428 |07 04 54|+29 55.1| 0.343|206.6|  21.0|K3          |  8.32| 0.93|      |  40.0| 6.33|     |LTT 11979                                                            |07 08 03.9|+29 50 04
NN 3429 |07 05 28|+30 47.6|      |     |      |M0          | 11.36| 1.49|      |  41.0| 9.42|     |Steph 626                                                            |07 08 39.8|+30 42 47
Gl 268  |07 06 39|+38 37.5| 1.052|207.9|  37.9|M4.5 Ve     | 11.49| 1.71| 164.6| 164.6|12.57|     |Ross 986 AC+38:23616                                                 |07 10 01.6|+38 31 49
NN 3430 |07 06 51|+37 45.3| 0.367|220.0|      |sdM6        | 14.67| 1.65|  41.5|  41.5|12.76|     |                                                                     |07 10 13.1|+37 40 09
NN 3431 |07 06 52|+37 45.3| 0.367|220.0|      |DQ8         | 15.68| 0.30|  41.5|  41.5|13.77|W051 |sep 13" 226d (NLTT)                                                  |07 10 14.1|+37 40 09
NN 3432 |07 08 16|+52 21.7| 0.240|205.0|      |M0          | 11.29| 1.48|      |  46.0| 9.60|     |                                                                     |07 12 11.6|+52 16 29
NN 3433 |07 08 34|-14 21.5| 0.539|302.5|      |K5          |  9.94| 1.35|  36.9|  44.0| 8.16|     |LTT 2755 Ross 55 NSV 3445                                            |07 10 49.8|-14 26 16
NN 3434 |07 09 27|-48 51.1| 0.192|354.1|  63.6|K2 III      |  5.12| 1.26|  40.6|  40.6| 3.20|     |LTT 2758                                                             |07 10 47.6|-48 55 58
Gl 268.1|07 11 08|-46 40.5| 0.172|306.2|   1.1|F0 IV       |  4.48| 0.32|  46.1|  46.1| 2.80|     |I Pup                                                                |07 12 33.6|-46 45 34
GJ 1095 |07 12 08|+47 19.9| 0.188|170.4|  85.2|G0 V        |  5.64| 0.58|  39.3|  58.0| 4.46|     |BS 2721                                                              |07 15 50.5|+47 14 27
Gl 268.2|07 12 42|-63 15.9| 0.623|333.3| -20.0|K5 V        |  9.10| 1.25|  52.3|  52.3| 7.69|     |                                                                     |07 13 07.5|-63 20 40
GJ 1096 |07 13 03|+33 14.8| 0.426|198.0|      |m+          | 14.48| 1.75|  67.1|  67.1|13.61|     |                                                                     |07 16 17.6|+33 09 07
Gl 268.3|07 13 14|+27 14.0| 0.240|187.0|      |dM0         | 10.85| 1.54|  69.4| 126.0|11.35|V490 |                                                                     |07 16 20.1|+27 08 27
NN 3435 |07 13 20|+58 29.8| 0.096|211.0|      |DA4         | 12.00|     |      |  82.0|11.60|W    |GD 294                                                               |07 17 36.4|+58 24 20
NN 3436 |07 13 33|-12 57.8| 0.531|289.3|  60.0|G2 V        |  7.75| 0.61|  43.2|  43.2| 5.93|     |LTT 2776                                                             |07 15 50.4|-13 03 00
Wo 9228 |07 13 59|-15 29.7| 0.059|251.8|  10.0|A3 V        |  5.44| 0.08|  21.2|  21.2| 2.10|     |                                                                     |07 16 15.0|-15 35 05
Gl 268.4|07 14 19|-40 56.6| 0.332|309.6|  16.3|G3 V        |  9.09| 0.66|  45.5|  45.5| 7.40|     |                                                                     |07 15 56.7|-41 01 48
NN 3437 |07 14 35|+19 39.9| 0.426|233.3|      |m           | 12.80| 1.56|  46.6|  46.6|11.14|     |LTT 17957                                                            |07 17 30.0|+19 34 15
NN 3438 |07 14 44|+39 22.0| 0.280|260.0|      |M0.5        | 10.33| 1.51|      |  66.0| 9.43|     |LTT 12003 Ross 987                                                   |07 18 08.3|+39 16 30
Gl 268.5|07 15 11|-13 54.6| 0.267|216.0|      |K5          | 12.11| 1.43|  44.0|  19.0| 8.50|     |AC-13:1069-363                                                       |07 17 28.5|-14 00 14
Wo 9231 |07 15 13|+16 37.9| 0.062|229.7|  -9.2|A3 V        |  3.58| 0.11|  46.0|  46.0| 1.89|     |                                                                     |07 18 05.4|+16 32 23
Wo 9231 |07 15 13|+16 37.9| 0.062|229.7|      |            | 10.00|     |  46.0|  46.0| 8.00|     |sep 9.6" 33d d(m) = 6.24                                             |07 18 05.4|+16 32 23
Gl 269  |07 16 03|-46 53.7| 0.578|358.1|  59.0|K1 V        |  7.15| 0.99|  81.6|  81.6| 6.71|U155 |V(AB) = 6.69 d(m) = 0.70                                             |07 17 29.1|-46 58 43
Gl 269  |07 16 03|-46 53.7| 0.578|358.1|      |K4 V        |  7.90|     |  81.6|  81.6| 7.50|     |a = 0.609" P = 84.0 yr                                               |07 17 29.1|-46 58 43
Gl 270  |07 16 15|+32 55.7| 0.574|125.9| -68.9|dM1.5       | 10.07| 1.44|  60.3|  60.3| 8.97|V016 |                                                                     |07 19 31.3|+32 49 51
Gl 271  |07 17 08|+22 04.6| 0.029|239.1| -15.3|F1 IV-V     |  3.53| 0.34|  62.4|  62.4| 2.51|     |DEL Gem BS 2777 ADS 5983  V(AB) = 3.52 d(m) = 4.67                   |07 20 07.1|+21 58 58
Gl 271  |07 17 08|+22 04.6| 0.029|239.1|   2.2|K3 V        |  8.20|     |  62.4|  62.4| 7.20|     |a = 6.975" P 1200 yr                                                 |07 20 07.1|+21 58 58
NN 3439 |07 19 33|+30 46.5| 0.715|214.0|      |k-m         | 13.34| 1.50|  42.0|  42.0|11.46|     |LTT 17963                                                            |07 22 42.4|+30 40 13
Gl 272  |07 19 37|+46 11.3| 0.280|215.0| -30.3|dM2         | 10.53| 1.46|  58.6|  58.6| 9.37|V493 |AC+47:256-150                                                        |07 23 15.1|+46 05 18
GJ 2057 |07 20 59|+13 04.1| 0.440|169.5|  38.8|K2          |  8.20| 0.94|      |  43.0| 6.37|     |LTT 12011                                                            |07 23 47.5|+12 57 52
NN 3440 |07 21 30|-82 54.8| 0.676|352.7|      |m           | 11.75|     |      |  44.0| 9.97|     |LTT 2823 L 15-86                                                     |07 15 32.4|-82 59 51
NN 3441 |07 24 31|+22 08.9| 0.292|237.0|      |m           | 11.23| 1.49|  51.5|  51.5| 9.79|     |LTT 12020 Ross 878                                                   |07 27 29.1|+22 02 39
Gl 273  |07 24 43|+05 22.7| 3.761|171.2|  18.2|M3.5        |  9.85| 1.56| 264.4| 264.4|11.96|V017 |                                                                     |07 27 24.4|+05 13 29
Gl 273.1|07 25 49|+32 05.7| 0.232| 44.4|  -4.1|dK8         |  7.74| 0.94|  48.3|  48.3| 6.16|V880 |                                                                     |07 29 02.2|+31 59 37
Gl 274  |07 25 54|+31 53.1| 0.232| 41.6|   3.1|F0 V        |  4.18| 0.32|  59.1|  59.1| 3.04|     |RHO Gem                                                              |07 29 06.8|+31 47 01
Gl 274  |07 25 54|+31 53.1| 0.232| 41.6|      |            | 12.50|     |  59.1|  59.1|11.40|     |                                                                     |07 29 06.8|+31 47 01
NN 3442 |07 26 00|-18 42.0| 0.588|  3.9|      |k-m         | 13.65|     |      |  86.0|13.32|     |LTT 2844 L 744-10 LP 782-2                                           |07 28 12.8|-18 47 42
Wo 9234 |07 26 09|+49 46.7| 0.139|133.0| -26.7|F6 V        |  5.36| 0.45|  44.7|  44.0| 3.58|     |                                                                     |07 29 56.4|+49 40 22
Gl 275  |07 26 11|-51 18.0| 0.283|267.6|   3.4|G5 IV-V     |  6.73| 0.70|  56.5|  56.5| 5.50|     |                                                                     |07 27 25.6|-51 24 11
GJ 1097 |07 26 14|-03 11.2| 0.940|150.9|      |M3          | 11.43| 1.50|  90.8|  90.8|11.22|     |                                                                     |07 28 45.8|-03 18 06
Gl 275.1|07 26 52|+68 43.7| 0.220|238.0|   4.0|dM0         | 10.89| 1.43|  53.0|  55.0| 9.59|V245 |AC+68:3124                                                           |07 32 02.2|+68 37 15
NN 3443 |07 27 00|-07 26.9| 0.142| 24.8|   9.1|F8 V        |  5.86| 0.48|      |  40.0| 3.87|     |                                                                     |07 29 25.8|-07 33 04
Gl 275.2|07 27 02|+48 19.4| 1.295|189.8|      |sdM5        | 13.56| 1.71|  86.5|  86.5|13.25|     |                                                                     |07 30 43.9|+48 12 01
Gl 275.2|07 27 06|+48 17.8| 1.295|189.8|      |DC          | 14.63| 0.99|  86.5|  86.5|14.32|W052 |                                                                     |07 30 47.9|+48 10 25
NN 3444 |07 27 48|+58 02.0| 0.929|178.6|  16.0|M6  :       | 17.40|     |      |  55.0|16.10|     |LP 88-196  Mv = 16.1 +- .9 G&L ApJ 305, 784                          |07 32 00.5|+57 54 51
Gl 276  |07 28 18|+14 43.5| 0.297|167.6|  65.6|dK8         |  8.98| 1.10|  45.6|  45.6| 7.27|V247 |                                                                     |07 31 08.1|+14 36 53
NN 3445 |07 28 32|+39 20.2| 0.293|146.0|      |m           | 13.08|     |      |  43.0|11.25|     |                                                                     |07 31 56.9|+39 13 35
Gl 277  |07 28 40|+36 19.8| 0.440|231.5|   0.1|dM3.5e      | 10.58| 1.47|  83.0|  83.0|10.18|V246 |VV Lyn                                                               |07 31 57.6|+36 13 10
Gl 277  |07 28 39|+36 20.4| 0.441|231.0|   0.1|dM4.5e      | 11.78| 1.52|  83.0|  83.0|11.38|     |Ross 989                                                             |07 31 56.6|+36 13 46
GJ 1098 |07 28 49|+64 16.1| 0.258|164.0|      |DC9         | 16.38| 0.91|      |  55.0|15.08|W321 |LP 58-247                                                            |07 33 30.7|+64 09 25
NN 3446 |07 28 56|-37 14.0| 0.096|297.4|   8.6|G4 V        |  6.64| 0.63|      |  44.0| 4.86|     |                                                                     |07 30 42.4|-37 20 21
NN 3447 |07 29 11|+17 25.7| 0.270|238.0|      |dM0         | 11.02| 1.38|  40.4|  40.4| 9.05|V498 |                                                                     |07 32 03.2|+17 19 09
NN 3448 |07 29 10|+17 25.7| 0.270|238.0|      |m           | 12.95|     |  40.4|  40.4|10.98|     |Wor 27  sep 11"                                                      |07 32 02.2|+17 19 09
NN 3449 |07 29 42|-08 46.3| 0.185|209.9|  55.0|F9 V        |  5.90| 0.54|      |  46.0| 4.21|     |BS 2883                                                              |07 32 05.9|-08 52 53
NN 3450 |07 29 42|-08 46.3| 0.185|209.9|      |            |  8.60|     |      |  46.0| 6.90|     |cpm with ADS 6158 ?  sep 23.4"                                       |07 32 05.9|-08 52 53
Gl 277.1|07 29 57|+63 03.1| 0.424|261.8|      |dM0         | 10.49| 1.55|  70.4|  70.4| 9.73|V497 |AC+63:14097                                                          |07 34 28.3|+62 56 31
NN 3451 |07 30 50|+22 30.6| 1.104|122.8|      |m           | 16.46| 1.60|  40.7|  40.7|14.51|     |LP 365-22                                                            |07 33 52.5|+22 23 33
NN 3452 |07 31 12|+54 58.0| 0.104|291.0|      |dM0         | 11.29| 1.55|      |  71.0|10.55|V499 |                                                                     |07 35 12.5|+54 51 26
Gl 278  |07 31 25|+32 00.0| 0.198|238.9|   6.0|A1 V        |  1.94| 0.04|  68.3|  68.3| 1.11|     |ALF Gem BS 2891 ADS 6175 V(AB) = 1.56 d(m) = 0.95                    |07 34 36.3|+31 53 19
Gl 278  |07 31 25|+32 00.0| 0.198|238.9|  -1.2|A m         |  2.85|     |  68.3|  68.3| 2.02|     |BS 2890  a = 6.295" P = 420.07 yr                                    |07 34 36.3|+31 53 19
Gl 278  |07 31 26|+31 58.8| 0.232|241.4|  -1.9|M0.5Ve      |  9.07| 1.49|  68.3|  68.3| 8.24|     |YY Gem   sep(AC) 72.5" 64d (1835-1955)  d(m) = 0.0                   |07 34 37.2|+31 52 07
NN 3453 |07 31 39|+22 26.9| 0.200|119.0|      |k           | 11.53| 1.50|      |  55.0|10.20|     |LP 365-24                                                            |07 34 38.7|+22 20 13
GJ 1099 |07 31 43|+01 06.2| 0.628|175.6|      |m           | 11.93| 1.47|  68.2|  68.2|11.10|     |                                                                     |07 34 18.0|+00 59 05
Gl 279  |07 31 55|-22 11.2| 0.062|313.2|  61.0|F6 IV       |  4.45| 0.51|  48.0|  48.0| 2.86|     |                                                                     |07 34 03.5|-22 17 45
Wo 9237 |07 33 32|-03 02.5| 0.304|289.4|      |G0          |  7.16| 0.57|  39.1|  28.0| 4.40|     |LTT 2893                                                             |07 36 01.5|-03 09 08
NN 3454 |07 33 43|+07 11.7| 0.354|145.0|      |m           | 13.22|     |      | 162.0|14.27|     |LTT 17993                                                            |07 36 25.1|+07 04 44
Wo 9238 |07 34 49|+28 23.8| 0.503|129.1|      |M3          | 13.85| 1.47|  39.7|  39.7|11.84|     |LTT 12045 LFT 536 Ross 394                                           |07 37 57.1|+28 16 43
NN 3455 |07 34 52|-51 48.5| 0.612| 41.0|      |m           | 12.45|     |      |  62.0|11.41|     |LTT 2899 L 240-16                                                    |07 36 10.1|-51 54 53
NN 3456 |07 35 18|+85 06.0| 0.373|204.0|      |m           | 12.80|     |      |  48.0|11.21|     |LP 4-258                                                             |07 49 19.4|+84 58 30
NN 3457 |07 36 22|+33 34.9| 0.243|222.0|      |m           | 11.83| 1.46|  26.4|  26.4| 8.94|     |LTT 17998                                                            |07 39 35.4|+33 27 50
NN 3458 |07 36 23|+33 35.0| 0.243|222.0|      |m+          | 18.00|     |  26.4|  26.4|15.00|     |LP 256-44   sep 13" 56d                                              |07 39 36.4|+33 27 56
